report_year,division,count
2014,D31,7
2014,D23,12
2014,D23,10
2014,D31,87
2014,D32,6
2014,D23,1
2014,D31,28
2014,D23,7
2014,D23,66
2014,D31,101
2014,D32,1
2014,D23,25
2014,D31,1
2014,D23,21
2014,D23,810
2014,D31,51
2014,D32,2
2014,D23,1
2014,D31,35
2014,D23,1
2014,D23,186
2014,D31,147
2014,D32,16
2014,D23,55
2014,D31,7
2014,D23,12
2014,D23,1
2014,D31,84
2014,D32,2
2014,D23,8
2014,D31,50
2014,D23,8
2014,D23,39
2014,D31,68
2014,D32,8
2014,D23,10
2014,D31,23
2014,D23,48
2014,D23,1
2014,D31,6
2014,D32,12
2014,D23,17
2014,D31,5
2014,D23,22
2014,D23,111
2014,D31,104
2014,D23,75
2014,D32,12
2014,D31,26
2014,D23,24
2014,D32,3
2014,D23,87
2014,D23,9
2014,D31,12
2014,D23,3
2014,D31,15
2014,D32,3
2014,D23,203
2014,D23,2
2014,D31,3
2014,D23,7
2014,D31,148
2014,D32,10
2014,D23,13
2014,D23,14
2014,D31,8
2014,D23,27
2014,D31,9
2014,D32,29
2014,D23,2
2014,D23,1
2014,D31,29
2014,D23,59
2014,D31,4
2014,D32,2
2014,D23,44
2014,D23,17
2014,D31,2
2014,D23,64
2014,D31,7
2014,D32,10
2014,D23,57
2014,D23,150
2014,D31,33
2014,D23,1
2014,D31,15
2014,D32,14
2014,D23,258
2014,D31,15
2014,D23,13
2014,D23,30
2014,D31,1
2014,D32,12
2014,D23,71
2014,D23,1
2014,D31,10
2014,D32,5
2014,D31,17
2014,D23,10
2014,D23,1
2014,D23,2
2014,D31,1
2014,D32,30
2014,D31,20
2014,D23,314
2014,D23,2
2014,D23,2
2014,D31,18
2014,D32,9
2014,D31,17
2014,D23,45
2014,D23,1
2014,D23,4
2014,D31,165
2014,D32,38
2014,D31,23
2014,D23,2
2014,D23,1
2014,D23,29
2014,D31,132
2014,D32,32
2014,D31,8
2014,D23,5
2014,D23,16
2014,D23,1
2014,D31,257
2014,D32,1
2014,D31,18
2014,D23,18
2014,D23,8
2014,D23,4
2014,D23,6
2014,D32,70
2014,D31,190
2014,D23,13
2014,D31,8
2014,D23,34
2014,D31,75
2014,D23,1
2014,D31,10
2014,D23,15
2014,D32,17
2014,D23,40
2014,D31,11
2014,D23,6
2014,D31,89
2014,D23,4
2014,D32,17
2014,D23,8
2014,D31,405
2014,D23,1
2014,D31,48
2014,D23,2
2014,D32,22
2014,D23,15
2014,D31,45
2014,D23,15
2014,D31,158
2014,D32,18
2014,D23,17
2014,D31,339
2014,D23,15
2014,D31,22
2014,D32,24
2014,D23,69
2014,D31,186
2014,D23,2
2014,D31,280
2014,D32,15
2014,D23,27
2014,D31,67
2014,D31,1
2014,D23,1
2014,D32,52
2014,D31,6
2014,D31,253
2014,D23,2
2014,D32,8
2014,D31,110
2014,D31,58
2014,D23,14
2014,D32,29
2014,D31,16
2014,D31,104
2014,D23,10
2014,D31,7
2014,D23,1
2014,D31,186
2014,D23,16
2014,D31,23
2014,D23,69
2014,D31,190
2014,D23,2
2014,D31,2
2014,D23,5
2014,D32,110
2014,D32,22
2014,D32,87
2014,D32,51
2014,D32,70
2014,D32,1
2014,D32,39
2014,D32,182
2014,D32,2
2014,D32,2
2014,D32,10
2014,D32,5
2014,D32,5
2014,D32,1
2014,D32,4
2014,D32,2
2014,D32,4
2014,D32,4
2014,D32,1
2014,D32,8
2014,D33,18
2014,D32,24
2014,D32,9
2014,D32,18
2014,D32,16
2014,D32,3
2014,D32,3
2014,D32,4
2014,D32,4
2014,D32,13
2014,D32,17
2014,D32,70
2014,D33,1
2014,D32,97
2014,D32,137
2014,D32,21
2014,D32,164
2014,D32,48
2014,D32,53
2014,D32,136
2014,D32,167
2014,D32,95
2014,D32,1
2014,D32,20
2014,D32,97
2014,D32,289
2014,D32,52
2014,D32,149
2014,D32,126
2014,D32,276
2014,D32,231
2014,D32,745
2014,D32,34
2014,D32,41
2014,D32,44
2014,D32,4
2014,D32,68
2014,D32,5
2014,D32,21
2014,D33,7
2014,D32,11
2014,D33,9
2014,D32,1
2014,D32,6
2014,D33,1
2014,D32,2
2014,D33,1
2014,D32,15
2014,D32,2
2014,D33,1
2014,D32,7
2014,D32,21
2014,D32,3
2014,D32,1
2014,D32,13
2014,D32,13
2014,D32,5
2014,D32,5
2014,D32,11
2014,D32,13
2014,D32,10
2014,D32,4
2014,D32,1
2014,D32,9
2014,D32,5
2014,D32,3
2014,D32,8
2014,D32,10
2014,D32,4
2014,D32,6
2014,D32,14
2014,D32,17
2014,D32,5
2014,D32,14
2014,D32,11
2014,D32,10
2014,D32,4
2014,D32,10
2014,D32,3
2014,D32,7
2014,D32,6
2014,D32,1
2014,D32,3
2014,D32,3
2014,D32,2
2014,D32,2
2014,D32,2
2014,D32,6
2014,D32,8
2014,D32,6
2014,D32,12
2014,D32,4
2014,D32,9
2014,D32,6
2014,D32,14
2014,D32,8
2014,D32,11
2014,D33,19
2014,D32,4
2014,D32,2
2014,D33,25
2014,D33,25
2014,D32,33
2014,D32,3
2014,D33,16
2014,D33,16
2014,D32,9
2014,D32,3
2014,D33,3
2014,D33,6
2014,D32,7
2014,D32,1
2014,D33,11
2014,D33,32
2014,D32,29
2014,D32,2
2014,D33,6
2014,D33,10
2014,D32,1
2014,D32,2
2014,D33,1
2014,D33,6
2014,D32,16
2014,D32,4
